Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,Date,Time,Month,Weekday,Hour
2024-12-22 15:08:14,6,-79.0792,-16.3423,490,1,23.1,75.2,2,14,460,7,2,87.8,261,1,2024-12-22,15:08:14,December,Sunday,15
2024-08-15 05:45:04,5,-1.6787,3.2441,126,1,29.6,67.6,1,19,201,9,3,84.1,255,0,2024-08-15,05:45:04,August,Thursday,5
2024-03-16 11:17:42,7,-8.2431,-12.4959,164,2,18.2,76.4,0,45,466,7,2,98.1,196,0,2024-03-16,11:17:42,March,Saturday,11
2024-12-28 11:40:55,2,-30.0701,135.6396,477,0,19.2,79.4,0,12,310,5,0,63.7,129,1,2024-12-28,11:40:55,December,Saturday,11
2024-02-04 18:55:58,5,61.8444,107.4835,245,2,24.2,56.9,1,39,379,2,1,66.4,183,0,2024-02-04,18:55:58,February,Sunday,18
2024-07-09 02:12:54,5,40.784,77.2346,172,0,25.2,67.6,0,40,274,7,3,66.3,170,1,2024-07-09,02:12:54,July,Tuesday,2
2024-12-01 23:54:16,7,-68.3515,158.251,206,0,20.7,77.5,0,15,308,2,0,63.9,209,1,2024-12-01,23:54:16,December,Sunday,23
2024-06-22 13:26:02,6,-33.8378,73.3221,310,2,18.7,54.7,0,52,232,9,1,72.6,113,0,2024-06-22,13:26:02,June,Saturday,13
2024-07-27 15:50:46,2,69.6609,38.4464,225,1,19.0,63.0,2,17,282,6,3,99.6,265,1,2024-07-27,15:50:46,July,Saturday,15
2024-09-05 14:12:00,3,20.8843,1.3947,303,0,20.7,70.6,0,47,143,10,2,98.1,123,1,2024-09-05,14:12:00,September,Thursday,14
2024-11-11 22:09:53,0,-14.8081,-177.3003,237,0,20.7,78.3,2,35,491,2,2,80.7,189,1,2024-11-11,22:09:53,November,Monday,22
2024-05-01 22:26:11,6,0.0414,-130.6505,172,1,18.2,79.9,0,46,258,3,0,60.1,154,0,2024-05-01,22:26:11,May,Wednesday,22
2024-07-26 20:19:01,9,-79.9146,-3.8554,214,2,21.7,77.0,2,47,187,10,2,97.4,175,1,2024-07-26,20:19:01,July,Friday,20
2024-08-09 01:16:43,3,76.4465,173.1493,330,0,24.0,52.9,2,14,425,1,0,89.8,289,1,2024-08-09,01:16:43,August,Friday,1
2024-01-29 21:04:08,5,-15.6005,-92.1974,130,1,18.1,78.3,2,39,424,9,1,92.3,143,1,2024-01-29,21:04:08,January,Monday,21
2024-03-23 12:47:34,2,67.396,170.1537,364,0,26.9,67.8,0,55,467,7,3,95.2,128,1,2024-03-23,12:47:34,March,Saturday,12
2024-10-17 13:22:31,8,33.6179,-67.2758,430,0,26.4,68.4,2,16,277,8,2,71.9,137,1,2024-10-17,13:22:31,October,Thursday,13
2024-07-11 07:07:27,8,-50.8174,-40.3409,187,2,18.6,67.7,0,12,375,5,2,85.4,140,0,2024-07-11,07:07:27,July,Thursday,7
2024-12-11 16:57:48,5,50.2709,125.6915,323,0,28.3,61.2,1,52,139,4,3,72.4,127,1,2024-12-11,16:57:48,December,Wednesday,16
2024-01-10 01:05:25,9,-73.8211,3.187,386,1,26.6,78.2,1,19,456,7,1,87.6,290,0,2024-01-10,01:05:25,January,Wednesday,1
2024-06-17 07:59:24,9,79.1172,178.4934,422,0,19.6,53.3,2,40,205,5,3,86.1,242,1,2024-06-17,07:59:24,June,Monday,7
2024-06-25 01:52:28,9,27.4253,90.1386,433,0,24.0,77.8,0,37,173,9,3,89.6,143,1,2024-06-25,01:52:28,June,Tuesday,1
2024-04-17 20:13:18,9,67.9086,-140.0283,318,1,26.0,77.4,0,19,314,2,2,70.2,250,0,2024-04-17,20:13:18,April,Wednesday,20
2024-10-09 18:26:11,9,-72.8958,129.8921,176,2,22.6,73.3,2,37,154,4,0,91.4,169,1,2024-10-09,18:26:11,October,Wednesday,18
2024-11-27 17:17:47,4,-58.6802,-62.7474,125,0,23.4,57.6,2,23,191,2,1,72.0,241,1,2024-11-27,17:17:47,November,Wednesday,17
2024-06-12 02:49:27,6,64.0395,-151.7045,336,2,27.4,58.9,1,49,100,10,3,70.7,236,0,2024-06-12,02:49:27,June,Wednesday,2
2024-11-02 21:19:46,7,-24.1402,-168.6013,244,1,21.3,73.8,2,39,229,7,2,98.1,197,1,2024-11-02,21:19:46,November,Saturday,21
2024-02-29 15:12:54,4,72.8574,179.01,391,2,20.5,71.2,1,12,112,7,2,78.3,267,0,2024-02-29,15:12:54,February,Thursday,15
2024-03-17 23:47:15,6,7.3575,86.6442,425,1,24.2,54.6,1,32,193,3,3,69.9,260,0,2024-03-17,23:47:15,March,Sunday,23
2024-11-25 10:39:09,5,68.9594,-123.5048,403,2,26.9,60.6,0,50,418,1,1,67.8,182,0,2024-11-25,10:39:09,November,Monday,10
2024-07-04 18:22:32,4,14.9079,50.1606,438,0,26.5,69.3,2,34,378,5,3,88.7,256,1,2024-07-04,18:22:32,July,Thursday,18
2024-03-19 05:23:55,0,66.2353,10.8345,339,2,26.8,64.5,1,24,235,6,1,69.3,212,0,2024-03-19,05:23:55,March,Tuesday,5
2024-03-20 01:25:23,9,70.1899,-65.6792,203,2,18.0,68.9,2,19,370,3,1,74.4,254,1,2024-03-20,01:25:23,March,Wednesday,1
2024-07-18 11:16:58,4,51.4539,-20.8253,313,1,23.6,65.2,0,49,137,6,2,100.0,122,0,2024-07-18,11:16:58,July,Thursday,11
2024-08-10 08:40:26,2,-39.88,55.1792,261,1,27.1,67.3,1,35,496,2,3,71.3,264,0,2024-08-10,08:40:26,August,Saturday,8
2024-02-20 08:11:14,8,-17.2355,-130.6915,179,2,28.5,51.0,1,12,354,3,3,92.8,225,0,2024-02-20,08:11:14,February,Tuesday,8
2024-12-18 02:23:25,6,-44.2576,-86.5073,442,2,18.3,50.3,0,56,469,2,2,96.3,192,0,2024-12-18,02:23:25,December,Wednesday,2
2024-08-20 16:18:37,5,19.9257,116.0526,291,1,28.5,54.6,2,14,316,7,2,77.5,288,1,2024-08-20,16:18:37,August,Tuesday,16
2024-11-06 07:40:41,5,-47.2094,15.6324,348,1,28.2,68.3,0,22,415,4,1,67.4,204,0,2024-11-06,07:40:41,November,Wednesday,7
2024-12-14 15:09:01,6,-58.4249,-57.6609,454,2,23.7,51.9,0,51,232,7,3,78.7,172,0,2024-12-14,15:09:01,December,Saturday,15
2024-01-15 12:01:25,0,-20.0696,-73.2689,486,1,29.1,78.4,0,21,158,7,2,62.6,243,0,2024-01-15,12:01:25,January,Monday,12
2024-05-18 10:00:52,1,-36.8549,164.7618,483,2,29.2,65.0,2,57,167,8,0,96.8,245,1,2024-05-18,10:00:52,May,Saturday,10
2024-11-17 02:02:28,4,-86.6609,-128.0354,472,1,23.5,72.0,0,59,485,3,3,67.2,248,0,2024-11-17,02:02:28,November,Sunday,2
2024-08-22 20:11:57,5,-53.3732,-99.637,186,2,18.9,70.5,0,38,344,1,1,95.6,252,0,2024-08-22,20:11:57,August,Thursday,20
2024-09-12 08:00:47,6,-58.7963,-150.4122,366,2,22.8,66.7,0,39,219,7,1,91.0,211,0,2024-09-12,08:00:47,September,Thursday,8
2024-08-09 21:54:31,5,-46.1616,-46.6401,359,1,23.0,71.7,1,50,486,10,1,64.0,169,0,2024-08-09,21:54:31,August,Friday,21
2024-04-19 02:50:29,7,33.8716,36.8753,422,0,26.5,75.0,2,39,100,6,2,67.2,127,1,2024-04-19,02:50:29,April,Friday,2
2024-09-30 11:18:34,6,35.7136,-23.1356,209,2,24.9,76.8,0,51,214,2,0,86.5,156,0,2024-09-30,11:18:34,September,Monday,11
2024-03-22 16:43:42,5,36.3858,-107.3894,324,0,20.7,77.5,2,39,387,1,2,69.1,138,1,2024-03-22,16:43:42,March,Friday,16
2024-10-15 04:02:56,7,26.6125,25.4788,199,2,27.4,57.1,2,28,383,6,2,61.9,105,1,2024-10-15,04:02:56,October,Tuesday,4
2024-12-18 19:01:30,5,-84.8915,57.5714,213,0,27.7,58.1,0,41,267,7,0,60.9,254,1,2024-12-18,19:01:30,December,Wednesday,19
2024-06-09 17:12:12,4,-49.6846,-63.2892,257,0,23.1,59.1,0,56,451,3,3,93.8,248,1,2024-06-09,17:12:12,June,Sunday,17
2024-10-30 02:01:46,5,14.7474,-2.5245,475,2,22.2,79.4,1,25,268,3,3,60.3,151,0,2024-10-30,02:01:46,October,Wednesday,2
2024-06-23 03:05:18,7,-8.6011,-63.1274,377,2,22.7,75.5,0,59,445,7,2,99.1,272,0,2024-06-23,03:05:18,June,Sunday,3
2024-08-19 17:13:42,2,67.2149,117.9203,456,0,26.4,51.4,2,23,100,1,3,94.2,105,1,2024-08-19,17:13:42,August,Monday,17
2024-04-30 12:39:49,0,-11.3392,-69.3395,106,0,18.3,65.9,2,53,244,2,1,99.5,125,1,2024-04-30,12:39:49,April,Tuesday,12
2024-12-15 03:53:36,1,26.3763,157.0905,234,0,29.1,65.3,0,19,432,3,3,92.7,214,1,2024-12-15,03:53:36,December,Sunday,3
2024-03-21 14:56:42,8,-13.469,75.3408,390,0,19.5,79.2,2,26,366,4,0,69.4,217,1,2024-03-21,14:56:42,March,Thursday,14
2024-09-27 18:08:16,4,-11.2424,-4.5638,203,1,20.4,78.3,1,21,187,5,2,87.9,262,0,2024-09-27,18:08:16,September,Friday,18
2024-11-17 08:35:02,6,62.6559,18.8474,297,0,23.1,59.4,1,29,268,10,1,71.2,151,1,2024-11-17,08:35:02,November,Sunday,8
2024-05-03 03:34:28,9,60.8032,-179.5906,238,2,25.0,75.8,2,26,330,9,3,99.2,165,1,2024-05-03,03:34:28,May,Friday,3
2024-03-05 00:54:47,4,-10.0451,79.8956,126,1,28.2,54.5,1,35,320,4,0,93.7,136,0,2024-03-05,00:54:47,March,Tuesday,0
2024-01-14 09:22:40,2,17.6483,114.2638,455,1,22.9,79.6,1,51,410,9,3,84.9,233,0,2024-01-14,09:22:40,January,Sunday,9
2024-02-17 21:06:05,4,-51.9233,-57.5858,220,0,29.4,52.4,0,18,468,9,0,63.1,137,1,2024-02-17,21:06:05,February,Saturday,21
2024-07-06 11:17:28,5,22.3898,3.8948,403,2,22.5,62.5,0,38,225,3,3,81.4,169,0,2024-07-06,11:17:28,July,Saturday,11
2024-05-10 22:14:19,1,86.3368,29.4478,448,0,23.4,59.9,1,41,120,10,3,70.8,150,1,2024-05-10,22:14:19,May,Friday,22
2024-12-23 18:56:11,5,-14.6662,-88.3674,168,2,22.4,57.9,2,43,377,4,0,71.1,140,1,2024-12-23,18:56:11,December,Monday,18
2024-02-06 08:28:02,7,-71.9057,-41.4314,409,1,18.0,53.5,2,47,153,9,2,74.1,117,1,2024-02-06,08:28:02,February,Tuesday,8
2024-09-16 10:08:52,2,54.8888,7.4287,469,2,20.7,70.4,0,31,335,7,1,86.1,298,0,2024-09-16,10:08:52,September,Monday,10
2024-01-26 12:56:30,5,-89.7915,85.8036,305,2,20.5,71.2,1,44,302,10,3,71.9,141,0,2024-01-26,12:56:30,January,Friday,12
2024-11-29 06:34:32,5,39.9088,71.9595,219,0,26.6,79.8,2,46,245,1,2,70.5,202,1,2024-11-29,06:34:32,November,Friday,6
2024-06-02 19:16:49,8,30.7119,111.5767,167,0,23.8,71.6,0,55,416,8,1,60.7,263,1,2024-06-02,19:16:49,June,Sunday,19
2024-02-08 10:07:24,4,5.7076,-79.9256,100,0,24.1,50.9,1,39,340,4,2,96.9,274,1,2024-02-08,10:07:24,February,Thursday,10
2024-08-17 07:05:15,9,69.0509,91.848,321,2,25.4,53.8,0,24,340,5,1,84.6,223,0,2024-08-17,07:05:15,August,Saturday,7
2024-01-27 04:09:11,7,52.7828,176.0671,244,1,23.6,64.9,0,24,145,4,0,67.6,285,0,2024-01-27,04:09:11,January,Saturday,4
2024-12-13 00:55:11,9,42.967,146.1358,281,1,18.4,74.6,1,41,419,6,2,69.1,242,0,2024-12-13,00:55:11,December,Friday,0
2024-10-26 21:55:21,7,-11.9943,-126.8743,301,1,18.3,60.0,1,42,243,3,0,99.0,273,0,2024-10-26,21:55:21,October,Saturday,21
2024-03-19 05:42:50,8,60.5903,-90.0415,437,2,25.5,73.2,0,59,310,2,2,83.9,228,0,2024-03-19,05:42:50,March,Tuesday,5
2024-10-23 14:15:25,7,-23.2982,143.8634,253,2,22.8,78.7,0,49,180,3,3,74.0,296,0,2024-10-23,14:15:25,October,Wednesday,14
2024-01-18 08:34:25,2,-34.2189,-36.6288,491,1,25.5,50.3,2,18,111,1,3,97.1,100,1,2024-01-18,08:34:25,January,Thursday,8
2024-11-15 11:42:39,3,19.545,73.0968,172,0,22.8,60.4,1,38,187,9,3,83.3,106,1,2024-11-15,11:42:39,November,Friday,11
2024-07-01 16:37:53,7,33.3351,-103.926,252,0,24.4,72.3,1,54,156,6,0,86.8,225,1,2024-07-01,16:37:53,July,Monday,16
2024-06-11 08:04:09,4,-63.2064,30.0818,118,0,21.8,52.1,0,19,421,8,0,99.1,284,1,2024-06-11,08:04:09,June,Tuesday,8
2024-07-03 15:08:44,4,83.2858,-66.1069,179,0,25.0,71.1,1,60,325,1,3,66.8,226,1,2024-07-03,15:08:44,July,Wednesday,15
2024-02-05 00:41:30,6,-23.2424,18.6206,119,1,25.9,77.7,0,38,189,7,3,79.3,149,0,2024-02-05,00:41:30,February,Monday,0
2024-03-12 03:54:06,5,-89.0793,130.3362,221,0,22.8,76.1,1,35,233,4,2,61.5,281,1,2024-03-12,03:54:06,March,Tuesday,3
2024-11-17 06:38:26,7,-11.2908,-105.2515,261,0,24.5,74.2,1,36,201,10,0,67.0,226,1,2024-11-17,06:38:26,November,Sunday,6
2024-07-30 10:23:03,5,0.3773,-13.6838,226,1,25.4,73.7,1,46,138,8,1,75.5,298,0,2024-07-30,10:23:03,July,Tuesday,10
2024-12-07 16:11:00,1,-7.77,163.5958,226,2,21.1,56.1,2,50,160,5,2,77.3,174,1,2024-12-07,16:11:00,December,Saturday,16
2024-03-15 17:54:08,7,-80.1222,-56.1497,415,2,25.3,54.4,2,53,345,2,0,87.4,181,1,2024-03-15,17:54:08,March,Friday,17
2024-10-15 06:49:32,3,-84.8041,57.168,422,1,29.7,68.3,2,45,246,1,3,85.6,136,1,2024-10-15,06:49:32,October,Tuesday,6
2024-08-27 06:52:35,8,-13.1475,-1.0702,413,0,23.4,67.1,2,32,325,3,0,93.3,109,1,2024-08-27,06:52:35,August,Tuesday,6
2024-08-02 02:01:25,0,-87.5547,113.4629,269,2,25.2,57.7,1,20,247,2,3,60.9,177,0,2024-08-02,02:01:25,August,Friday,2
2024-11-27 18:48:54,4,72.9066,36.1965,489,1,25.7,50.1,2,51,204,1,3,65.1,184,1,2024-11-27,18:48:54,November,Wednesday,18
2024-12-03 05:26:24,6,16.1951,-119.4492,426,2,28.8,56.2,0,30,145,3,1,81.2,220,0,2024-12-03,05:26:24,December,Tuesday,5
2024-02-05 03:19:43,5,28.3461,-1.5547,457,1,27.9,78.6,2,18,461,6,3,69.1,137,1,2024-02-05,03:19:43,February,Monday,3
2024-12-19 22:58:09,0,-35.5663,47.4028,270,1,21.7,53.6,0,15,499,8,0,94.9,111,0,2024-12-19,22:58:09,December,Thursday,22
2024-11-23 08:44:11,7,-33.246,106.3248,267,2,29.8,79.8,2,55,282,5,2,90.5,173,1,2024-11-23,08:44:11,November,Saturday,8
2024-04-30 14:49:18,5,10.2059,98.618,381,1,24.4,50.1,2,54,243,6,2,61.5,278,1,2024-04-30,14:49:18,April,Tuesday,14
2024-06-07 06:45:59,3,-6.2311,173.6264,402,1,27.0,74.2,2,17,155,10,1,73.4,281,1,2024-06-07,06:45:59,June,Friday,6
2024-11-24 04:49:31,4,-78.1094,-52.5435,331,1,20.4,66.1,2,25,261,6,0,77.7,264,1,2024-11-24,04:49:31,November,Sunday,4
2024-07-29 00:56:10,5,-70.3645,-128.8622,167,1,25.6,62.5,1,40,246,9,1,63.8,126,0,2024-07-29,00:56:10,July,Monday,0
2024-06-01 20:00:16,4,18.1183,116.4939,187,0,23.3,71.7,2,10,209,10,1,97.2,151,1,2024-06-01,20:00:16,June,Saturday,20
2024-07-18 12:19:20,1,20.2969,124.1885,298,2,18.6,74.4,1,41,248,1,2,86.3,283,0,2024-07-18,12:19:20,July,Thursday,12
2024-12-16 11:48:34,6,-27.7387,19.6189,331,0,21.4,62.9,1,46,235,8,0,62.6,298,1,2024-12-16,11:48:34,December,Monday,11
2024-04-15 22:37:19,2,-31.1328,175.8453,180,1,27.2,52.9,0,29,390,8,0,68.4,110,0,2024-04-15,22:37:19,April,Monday,22
2024-04-05 10:29:17,1,24.8353,-83.7173,282,2,19.4,71.9,0,43,464,10,1,90.0,107,0,2024-04-05,10:29:17,April,Friday,10
2024-12-20 12:26:19,4,-32.724,82.9577,363,0,27.0,70.9,1,52,482,6,3,62.9,248,1,2024-12-20,12:26:19,December,Friday,12
2024-07-02 03:07:27,3,72.122,89.9728,212,1,25.9,68.0,2,32,312,6,0,87.6,296,1,2024-07-02,03:07:27,July,Tuesday,3
2024-01-28 04:43:23,0,-7.636,51.0615,317,2,23.9,69.5,0,59,447,1,3,97.1,294,0,2024-01-28,04:43:23,January,Sunday,4
2024-01-14 20:39:14,2,-24.0118,111.4726,240,1,18.8,63.9,1,23,462,1,2,61.2,276,0,2024-01-14,20:39:14,January,Sunday,20
2024-08-06 11:35:04,1,77.0042,-12.2919,427,0,20.3,57.3,2,18,341,3,3,85.7,189,1,2024-08-06,11:35:04,August,Tuesday,11
2024-12-08 01:10:23,1,-38.6867,-19.9939,144,0,18.2,53.1,0,16,106,5,3,69.4,214,1,2024-12-08,01:10:23,December,Sunday,1
2024-02-27 01:51:59,8,41.375,77.2949,280,2,25.5,74.2,0,46,447,2,1,65.3,236,0,2024-02-27,01:51:59,February,Tuesday,1
2024-02-14 21:28:31,2,-68.4651,179.4433,182,0,20.3,59.8,1,30,288,7,2,83.3,107,1,2024-02-14,21:28:31,February,Wednesday,21
2024-03-21 11:48:25,3,-13.0063,0.5345,439,0,21.5,72.8,2,30,101,10,0,90.4,114,1,2024-03-21,11:48:25,March,Thursday,11
2024-10-16 22:56:13,2,41.3066,161.1462,174,0,27.2,77.9,2,39,173,5,0,91.1,262,1,2024-10-16,22:56:13,October,Wednesday,22
2024-02-21 23:20:41,6,-23.1011,-54.5176,186,0,24.0,67.3,1,44,352,9,2,85.7,262,1,2024-02-21,23:20:41,February,Wednesday,23
2024-09-24 22:17:10,1,-17.6088,-41.4304,109,1,26.9,75.3,1,26,314,7,2,93.3,176,0,2024-09-24,22:17:10,September,Tuesday,22
2024-03-30 10:22:10,4,-72.4492,131.8524,483,2,21.9,71.9,1,59,226,10,0,69.2,152,0,2024-03-30,10:22:10,March,Saturday,10
2024-12-15 07:37:03,2,27.3601,-105.0457,100,0,27.5,68.6,0,49,464,3,2,61.7,149,1,2024-12-15,07:37:03,December,Sunday,7
2024-03-26 22:29:16,0,-86.5291,-36.5789,128,1,28.9,63.7,0,56,140,1,3,72.8,127,0,2024-03-26,22:29:16,March,Tuesday,22
2024-05-09 18:49:33,1,10.2078,36.857,100,2,21.9,72.1,1,22,413,1,3,67.5,145,0,2024-05-09,18:49:33,May,Thursday,18
2024-11-19 09:57:01,6,-42.6759,-7.9818,468,0,28.6,65.1,2,45,419,8,2,76.1,119,1,2024-11-19,09:57:01,November,Tuesday,9
2024-11-26 17:09:09,8,36.2494,143.1951,243,2,27.7,74.8,1,28,311,9,2,97.5,272,0,2024-11-26,17:09:09,November,Tuesday,17
2024-04-20 09:54:18,2,28.9964,151.6114,134,0,29.2,55.5,1,34,189,1,3,87.8,270,1,2024-04-20,09:54:18,April,Saturday,9
2024-06-05 19:19:16,3,-22.1005,-38.8449,484,1,29.1,54.7,1,48,320,7,3,84.6,118,0,2024-06-05,19:19:16,June,Wednesday,19
2024-07-08 04:26:39,6,47.2803,32.1356,300,1,22.4,54.3,2,23,323,5,3,65.5,230,1,2024-07-08,04:26:39,July,Monday,4
2024-04-01 03:56:41,1,-25.4692,-70.7603,396,1,21.9,67.4,1,24,238,3,3,60.4,117,0,2024-04-01,03:56:41,April,Monday,3
2024-02-11 04:52:58,4,20.1451,158.7402,135,1,26.8,79.1,1,57,173,7,0,81.3,115,0,2024-02-11,04:52:58,February,Sunday,4
2024-08-23 00:05:52,8,-29.2726,149.6329,236,1,21.9,51.9,1,21,233,6,0,72.0,115,0,2024-08-23,00:05:52,August,Friday,0
2024-11-04 00:29:20,0,-82.3942,179.9237,294,1,27.6,79.7,2,24,181,5,3,88.2,191,1,2024-11-04,00:29:20,November,Monday,0
2024-05-04 19:24:30,4,37.3932,53.447,209,0,29.4,57.8,1,34,319,4,0,85.0,208,1,2024-05-04,19:24:30,May,Saturday,19
2024-11-13 04:19:12,4,-3.4094,-85.8774,378,0,28.2,70.2,0,60,490,9,1,66.8,166,1,2024-11-13,04:19:12,November,Wednesday,4
2024-02-13 19:17:18,0,-60.2782,-7.5464,355,0,22.5,74.0,0,20,321,3,3,90.6,252,1,2024-02-13,19:17:18,February,Tuesday,19
2024-06-28 07:17:35,9,-1.8123,-156.207,474,0,29.2,66.1,2,26,318,5,3,96.2,110,1,2024-06-28,07:17:35,June,Friday,7
2024-12-15 22:06:59,6,45.553,20.9015,218,1,19.5,67.9,1,27,257,10,0,62.2,150,0,2024-12-15,22:06:59,December,Sunday,22
2024-06-30 14:22:40,2,-28.382,-47.8231,357,2,29.3,73.2,0,22,229,7,0,94.3,131,0,2024-06-30,14:22:40,June,Sunday,14
2024-12-05 16:36:07,5,-71.0852,-12.9187,255,0,27.4,59.6,0,20,497,3,1,98.4,277,1,2024-12-05,16:36:07,December,Thursday,16
